,Cycles,EFCs (with Diagnostic),Q_pe,Q_ne,Q_li_cyc,HPPC 50% charge 0s,HPPC 50% charge 3s,HPPC 50% charge 10s,HPPC 50% discharge 0s,HPPC 50% discharge 3s,HPPC 50% discharge 10s
cell_003,497.4511837,461.2573902,0.910071435,0.944592336,0.865800664,1.100503744,1.031959485,0.983993065,1.10400602,1.029862554,1.001173417
cell_004,488.9891612,453.6388264,0.908936566,0.942534489,0.865711127,1.105055233,1.035166244,0.98702504,1.102470083,1.030082176,1.000998959
cell_005,467.268025,435.403301,0.920178129,0.947500614,0.864676388,1.102909999,1.02592823,0.980356931,1.102684352,1.021692555,0.995653923
cell_006,462.94419,431.7397127,0.920511527,0.949008411,0.865840146,1.11841698,1.039096638,0.989042956,1.119538208,1.031817563,1.00319432
cell_007,371.3486566,348.4922328,0.91058621,0.944705837,0.86297536,1.111782191,1.045779537,0.995722972,1.114709846,1.040321312,1.011830351
cell_008,371.3000756,348.5723826,0.909930432,0.944513785,0.862777285,1.135173653,1.059928369,1.009455593,1.136385711,1.054418065,1.024426888
cell_009,609.0272335,552.447676,0.906391368,0.924595763,0.85758206,1.125508388,1.028370631,0.981836847,1.114285476,1.024370496,0.998215824
cell_010,616.934852,559.2829139,0.906491535,0.927362128,0.858153249,1.11003251,1.026883462,0.980725961,1.112431737,1.026021058,0.996440151
cell_011,562.1114863,513.7269836,0.898627388,0.930189765,0.857860079,1.122495443,1.048129602,0.996423246,1.121809171,1.043756703,1.012371792
cell_012,563.2254371,515.4792786,0.897525038,0.929854552,0.856784104,1.075076644,1.014502712,0.966946641,1.076932234,1.006928174,0.98091499
cell_013,526.7805267,483.776362,0.908338056,0.934644736,0.853176946,1.116394381,1.032284516,0.982019755,1.115002607,1.027850646,0.998574271
cell_014,524.1846783,482.596368,0.909683457,0.935566229,0.854788207,1.089595808,1.015237903,0.968894815,1.106909938,1.009674741,0.984733778
cell_015,404.5841189,371.1434155,0.903121942,0.936613659,0.855943326,1.109392326,1.04084218,0.992717209,1.116409102,1.038067545,1.00945871
cell_016,407.5517248,374.2128281,0.902432673,0.936102599,0.856585118,1.110388444,1.042023695,0.992604272,1.114968579,1.038755915,1.010182923
cell_017,741.6463169,642.4142075,0.918550156,0.951248249,0.864589775,1.064959543,0.993653729,0.954669397,1.06674273,0.987807711,0.966798927
cell_019,691.710373,599.2031081,0.906464775,0.940768336,0.866791014,1.105823828,1.034154444,0.985348159,1.112350432,1.031785473,1.002214531
cell_020,689.6611899,597.3291626,0.907412084,0.942151908,0.868588396,1.114288576,1.04184726,0.987428334,1.113102871,1.030734422,1.001988174
cell_021,584.7549354,513.0812771,0.92228829,0.964880547,0.86604567,1.035954888,0.968610372,0.930301981,1.031796427,0.961883206,0.94298603
cell_022,623.2342468,540.8246249,0.923729908,0.966787867,0.867331577,1.143808297,1.053444415,1.002709169,1.150704466,1.052477108,1.022242231
cell_023,478.063048,414.1129887,0.904477847,0.946363418,0.862376875,1.15172875,1.064111622,1.006810407,1.154818292,1.06471978,1.029588217
cell_024,462.3861657,402.3981211,0.905168875,0.943114492,0.864148969,1.159205444,1.06753894,1.011251543,1.150343558,1.065399118,1.030685319
cell_025,524.2291515,501.6962405,0.909177266,0.938314749,0.863247292,1.176343018,1.079130221,1.022514929,1.177982092,1.074335458,1.04215834
cell_026,539.5310312,509.7293568,0.909701024,0.939621615,0.861865245,1.186673828,1.084117507,1.027649756,1.187973681,1.084155325,1.047224286
cell_027,550.2085002,504.6302002,0.906315543,0.93473748,0.861635411,1.15548854,1.065376286,1.012850402,1.159470136,1.060577815,1.027284802
cell_028,558.2568443,512.54751,0.904761271,0.938663923,0.860101262,1.149064456,1.057988378,1.003330486,1.154109456,1.056142629,1.024397694
cell_029,554.0370064,509.2185037,0.908428624,0.947593351,0.86024839,1.159083525,1.064395632,1.012280351,1.159967454,1.062045802,1.029059503
cell_030,578.2532618,519.1230266,0.911386795,0.951610149,0.861449502,1.158375442,1.059194242,1.006191273,1.158882866,1.055490571,1.023335766
cell_031,553.5687225,514.0558617,0.906431132,0.93829144,0.859467331,1.204087482,1.096996966,1.037620273,1.20959445,1.092025111,1.054302883
cell_032,545.445157,506.9005331,0.904782984,0.939543108,0.858687615,1.159194679,1.063218779,1.008894898,1.155388635,1.058462594,1.025255338
cell_033,667.536131,589.5513109,0.910760708,0.94679363,0.857266035,1.08537948,1.003561004,0.961346753,1.083227581,0.999333582,0.975486833
cell_034,619.5035007,554.8049105,0.915002738,0.947964628,0.860838719,1.049678637,0.974997611,0.937246449,1.043951995,0.969769676,0.95179425
cell_035,583.8367549,519.3104616,0.915393449,0.949040083,0.864704851,1.059307463,0.985262647,0.945321162,1.061925922,0.980342498,0.957931592
cell_036,652.956218,577.5589117,0.911335828,0.945372636,0.85814205,1.073869178,0.99535285,0.955318415,1.073386557,0.98886804,0.968756081
cell_037,752.109939,625.7864553,0.911487262,0.96112793,0.858432556,1.090672173,1.010699679,0.966975214,1.100632893,1.004044562,0.979533873
cell_038,756.197323,628.4741049,0.911664421,0.964260723,0.859315533,1.081363791,1.003411601,0.9625705,1.082240469,0.999948429,0.978776816
cell_039,668.2905145,579.6263103,0.915982317,0.956785862,0.864185565,1.056335836,0.982279994,0.943508328,1.059304837,0.978924522,0.957560462
cell_040,732.6420907,626.3419818,0.909216083,0.95906654,0.858656525,1.077199916,0.999349799,0.958286457,1.081259266,0.99604207,0.974061278
cell_041,772.9105144,623.1829979,0.917000679,0.971277722,0.865665726,1.058504031,0.979545193,0.942788933,1.05637737,0.969822888,0.952293269
cell_042,815.7827921,651.5926878,0.909506623,0.959190514,0.856869834,1.041555582,0.970773152,0.936955719,1.036857111,0.964177205,0.946518332
